index,non-gendered,gendered,corrected,was_gendered
846,"Falsche Verdächtigungen, aber auch ausgeprägte Schuldkomplexe, gehen bei Hitchcocks Filmen mit der Bedrohung der Identität einher.
","Falsche Verdächtigungen, aber auch ausgeprägte Schuldkomplexe, gehen bei Hitchcocks Filmen mit der Bedrohung der Identität einher.
","Falsche Verdächtigungen, aber auch ausgeprägte Schuldkomplexe, gehen bei Hitchcocks Filmen mit der Bedrohung der Identität einher.
",False
847,"Seine traumatisierten oder verfolgten Figuren nehmen selbst falsche Namen an oder werden – aus unbekannten Gründen – für jemand anderen gehalten.
","Seine traumatisierten oder verfolgten Figuren nehmen selbst falsche Namen an oder werden – aus unbekannten Gründen – für jemand anderen gehalten.
","Seine traumatisierten oder verfolgten Figuren nehmen selbst falsche Namen an oder werden – aus unbekannten Gründen – für jemand anderen gehalten.
",False
848,"Das Motiv des Identitätsverlusts spielt Hitchcock, angefangen von seinem ersten bis zu seinem letzten Film, in unterschiedlichsten Varianten durch, besonders einprägsam in Vertigo: Die weibliche Hauptfigur wird zunächst im Rahmen eines Mordkomplotts in eine andere Person (die anschließend ermordet wird) verwandelt und nimmt daraufhin wieder ihre eigentliche Identität an, nur um anschließend wieder in die andere Person zurückverwandelt zu werden.
","Das Motiv des Identitätsverlusts spielt Hitchcock, angefangen von seinem ersten bis zu seinem letzten Film, in unterschiedlichsten Varianten durch, besonders einprägsam in Vertigo: Die weibliche Hauptfigur wird zunächst im Rahmen eines Mordkomplotts in eine andere Person (die anschließend ermordet wird) verwandelt und nimmt daraufhin wieder ihre eigentliche Identität an, nur um anschließend wieder in die andere Person zurückverwandelt zu werden.
","Das Motiv des Identitätsverlusts spielt Hitchcock, angefangen von seinem ersten bis zu seinem letzten Film, in unterschiedlichsten Varianten durch, besonders einprägsam in Vertigo: Die weibliche Hauptfigur wird zunächst im Rahmen eines Mordkomplotts in eine andere Person (die anschließend ermordet wird) verwandelt und nimmt daraufhin wieder ihre eigentliche Identität an, nur um anschließend wieder in die andere Person zurückverwandelt zu werden.
",False
849,"Oft stehen Schuld und Bedrohung in Zusammenhang mit sexuellen Aspekten.
","Oft stehen Schuld und Bedrohung in Zusammenhang mit sexuellen Aspekten.
","Oft stehen Schuld und Bedrohung in Zusammenhang mit sexuellen Aspekten.
",False
850,"In Der Fall Paradin genügt bereits der Gedanke an Ehebruch, um das Leben des Protagonisten zu gefährden.
","In Der Fall Paradin genügt bereits der Gedanke an Ehebruch, um das Leben des Aktive zu gefährden.
","In der Fall Paradin genügt bereits der Gedanke an Ehebruch, um das Leben des Aktive zu gefährden.
",True
851,"In Berüchtigt ist der Zusammenhang zwischen Sex, Schuld und Bedrohung zentrales Thema.
","In Berüchtigt ist der Zusammenhang zwischen Sex, Schuld und Bedrohung zentrales Thema.
","In Berüchtigt ist der Zusammenhang zwischen Sex, Schuld und Bedrohung zentrales Thema.
",False
852,"Hitchcocks Verbindung von Sex und Gewalt wird in Mordszenen deutlich, die er oft wie Vergewaltigungen inszeniert, etwa der Schlusskampf zwischen Onkel und Nichte Charlie in Im Schatten des Zweifels, die Scherenszene in Bei Anruf Mord und die Duschszene in Psycho.
","Hitchcocks Verbindung von Sex und Gewalt wird in Mordszenen deutlich, die er oft wie Vergewaltigungen inszeniert, etwa der Schlusskampf zwischen Onkel und Nichte Charlie in Im Schatten des Zweifels, die Scherenszene in Bei Anruf Mord und die Duschszene in Psycho.
","Hitchcocks Verbindung von Sex und Gewalt wird in Mordszenen deutlich, die er oft wie Vergewaltigungen inszeniert, etwa der Schlusskampf zwischen Onkel und Nichte Charlie in im Schatten des Zweifels, die Scherenszene in bei Anruf Mord und die Duschszene in Psycho.
",False
853,"Darüber hinaus spielt Sexualität gerade in abnorm empfundenen Erscheinungsformen eine große Rolle in seinem Werk.
","Darüber hinaus spielt Sexualität gerade in abnorm empfundenen Erscheinungsformen eine große Rolle in seinem Werk.
","Darüber hinaus spielt Sexualität gerade in abnorm empfundenen Erscheinungsformen eine große Rolle in seinem Werk.
",False
854,"Aufgrund der Auflagen der Zensur werden jedoch Homosexualität, die in Verbindung mit Schuld und Verderben regelmäßig vorkommt, oder Nekrophilie (in Vertigo) nur in einzelnen Gesten oder Schlüsselszenen angedeutet.
","Aufgrund der Auflagen der Zensur werden jedoch Homosexualität, die in Verbindung mit Schuld und Verderben regelmäßig vorkommt, oder Nekrophilie (in Vertigo) nur in einzelnen Gesten oder Schlüsselszenen angedeutet.
","Aufgrund der Auflagen der Zensur werden jedoch Homosexualität, die in Verbindung mit Schuld und Verderben regelmäßig vorkommt, oder Nekrophilie (in Vertigo) nur in einzelnen Gesten oder Schlüsselszenen angedeutet.
",False
855,"Auch Fetischismus (Erpressung, Vertigo, Psycho) und Voyeurismus (Das Fenster zum Hof, Psycho) spielen in seinen Filmen eine gewisse Rolle.
","Auch Fetischismus (Erpressung, Vertigo, Psycho) und Voyeurismus (Das Fenster zum Hof, Psycho) spielen in seinen Filmen eine gewisse Rolle.
","Auch Fetischismus (Erpressung, Vertigo, Psycho) und Voyeurismus (Das Fenster zum Hof, Psycho) spielen in seinen Filmen eine gewisse Rolle.
",False
856,"In mehreren Filmen wird zudem ein erotischer Bezug der männlichen Hauptfiguren zu ihren Müttern angedeutet, etwa in Psycho und Die Vögel.
","In mehreren Filmen wird zudem ein erotischer Bezug der männlichen Hauptfiguren zu ihren Müttern angedeutet, etwa in Psycho und Die Vögel.
","In mehreren Filmen wird zudem ein erotischer Bezug der männlichen Hauptfiguren zu ihren Müttern angedeutet, etwa in Psycho und die Vögel.
",False
857,"Zentral in diesem Zusammenhang ist Berüchtigt.
","Zentral in diesem Zusammenhang ist Berüchtigt.
","Zentral in diesem Zusammenhang ist Berüchtigt.
",False
858,"Hier verhalten sich Claude Rains und Leopoldine Konstantin in manchen Schlüsselszenen wie ein Ehepaar.
","Hier verhalten sich Claude Rains und Leopoldine Konstantin in manchen Schlüsselszenen wie ein Ehepaar.
","Hier verhalten sich Claude Rains und Leopoldine Konstantin in manchen Schlüsselszenen wie ein Ehepaar.
",False
859,"Dieser Eindruck wird durch den geringen Altersunterschied der Schauspieler von nur vier Jahren verstärkt.
","Dieser Eindruck wird durch den geringen Altersunterschied der Schauspieler von nur vier Jahren verstärkt.
","Dieser Eindruck wird durch den geringen Altersunterschied der Schauspieler von nur vier Jahren verstärkt.
",False
860,"Unter den in Hitchcocks Bildsprache verwendeten Symbolen finden sich Vögel als Vorboten des Unglücks (etwa in Erpressung, später als vorherrschendes Thema in Die Vögel), Treppen, die Verlust oder Freiheit bedeuten können (Berüchtigt, Psycho, Vertigo und andere), sowie Handschellen und andere Fesseln, um Abhängigkeit und Ausgeliefertsein auszudrücken, meist im sexuellen Kontext (zum Beispiel in Der Mieter).
","Unter den in Hitchcocks Bildsprache verwendeten Symbolen finden sich Vögel als Vorboten des Unglücks (etwa in Erpressung, später als vorherrschendes Thema in Die Vögel), Treppen, die Verlust oder Freiheit bedeuten können (Berüchtigt, Psycho, Vertigo und andere), sowie Handschellen und andere Fesseln, um Abhängigkeit und Ausgeliefertsein auszudrücken, meist im sexuellen Kontext (zum Beispiel in Der Mieter).
","Unter den in Hitchcocks Bildsprache verwendeten Symbolen finden sich Vögel als Vorboten des Unglücks (etwa in Erpressung, später als vorherrschendes Thema in die Vögel), Treppen, die Verlust oder Freiheit bedeuten können (Berüchtigt, Psycho, Vertigo und andere), sowie Handschellen und andere Fesseln, um Abhängigkeit und Ausgeliefertsein auszudrücken, meist im sexuellen Kontext (zum Beispiel in der Mieter).
",False
861,"Auch Spiegel tauchen bei Hitchcock regelmäßig auf – in Zusammenhang mit dem Verlust oder der Erkenntnis der eigenen Persönlichkeit oder als allgemeines Symbol für Täuschungen (einprägende Beispiele: Vertigo und Psycho).
","Auch Spiegel tauchen bei Hitchcock regelmäßig auf – in Zusammenhang mit dem Verlust oder der Erkenntnis der eigenen Persönlichkeit oder als allgemeines Symbol für Täuschungen (einprägende Beispiele: Vertigo und Psycho).
","Auch Spiegel tauchen bei Hitchcock regelmäßig auf – in Zusammenhang mit dem Verlust oder der Erkenntnis der eigenen Persönlichkeit oder als allgemeines Symbol für Täuschungen (einprägende Beispiele: Vertigo und Psycho).
",False
862,"Die meisten Protagonisten in Hitchcocks Thrillern sind Normalbürger, die zu Beginn der Geschichte in der Regel nichts mit kriminellen Machenschaften zu tun haben.
","Die meisten Aktive in Hitchcocks Thrillern sind Normalbürger, die zu Beginn der Geschichte in der Regel nichts mit kriminellen Machenschaften zu tun haben.
","Die meisten Aktive in Hitchcocks Thrillern sind Normalbürger, die zu Beginn der Geschichte in der Regel nichts mit kriminellen Machenschaften zu tun haben.
",True
863,"Meist werden sie durch Zufall oder unbekannte Umstände in geheimnisvolle und bedrohliche Vorgänge gezogen.
","Meist werden sie durch Zufall oder unbekannte Umstände in geheimnisvolle und bedrohliche Vorgänge gezogen.
","Meist werden sie durch Zufall oder unbekannte Umstände in geheimnisvolle und bedrohliche Vorgänge gezogen.
",False
864,"Dem Zuschauer wird so das beunruhigende Gefühl vermittelt, dass auch er jederzeit in derartige Situationen geraten könnte.
","Dem Zuschauer wird so das beunruhigende Gefühl vermittelt, dass auch er jederzeit in derartige Situationen geraten könnte.
","Dem Zuschauer wird so das beunruhigende Gefühl vermittelt, dass auch er jederzeit in derartige Situationen geraten könnte.
",False
865,"Professionelle Agenten oder Spione findet man dagegen nur selten unter den Hauptfiguren, obwohl Hitchcock viele Filme drehte, die im Agentenmilieu spielen.
","Professionelle Agenten oder Spione findet man dagegen nur selten unter den Hauptfiguren, obwohl Hitchcock viele Filme drehte, die im Agentenmilieu spielen.
","Professionelle Agenten oder Spione findet man dagegen nur selten unter den Hauptfiguren, obwohl Hitchcock viele Filme drehte, die im Agentenmilieu spielen.
",False
866,"Hitchcock drehte bis auf eine Ausnahme (Erpressung, 1929) auch nie einen Film, in dem die Arbeit der Polizei im Mittelpunkt steht; aktive Polizisten tauchen ansonsten nur als Nebenfiguren und üblicherweise als Hindernis auf.
","Hitchcock drehte bis auf eine Ausnahme (Erpressung, 1929) auch nie einen Film, in dem die Arbeit der Polizei im Mittelpunkt steht; aktive Polizisten tauchen ansonsten nur als Nebenfiguren und üblicherweise als Hindernis auf.
","Hitchcock drehte bis auf eine Ausnahme (Erpressung, 1929) auch nie einen Film, in dem die Arbeit der Polizei im Mittelpunkt steht; aktive Polizisten tauchen ansonsten nur als Nebenfiguren und üblicherweise als Hindernis auf.
",False
867,"Der Prototyp des Antihelden bei Hitchcock sind die von James Stewart gespielten Figuren: In Cocktail für eine Leiche muss der von Stewart dargestellte Lehrer erkennen, dass zwei seiner Studenten eine seiner Theorien zum Anlass nahmen, einen Mord zu verüben und diesen mit seinen Thesen zu rechtfertigen; am Ende steht er hilflos vor diesem menschlichen Abgrund, in den er nicht nur hineingezogen wurde, sondern den er sogar mit heraufbeschworen hat.
","Der Prototyp des Antihelden bei Hitchcock sind die von James Stewart gespielten Figuren: In Cocktail für eine Leiche muss der von Stewart dargestellte Lehrer erkennen, dass zwei seiner Studis eine seiner Theorien zum Anlass nahmen, einen Mord zu verüben und diesen mit seinen Thesen zu rechtfertigen; am Ende steht er hilflos vor diesem menschlichen Abgrund, in den er nicht nur hineingezogen wurde, sondern den er sogar mit heraufbeschworen hat.
","Der Prototyp des Antihelden bei Hitchcock sind die von James Stewart gespielten Figuren: In Cocktail für eine Leiche muss der von Stewart dargestellte Lehrer erkennen, dass zwei seiner Studis eine seiner Theorien zum Anlass nahmen, einen Mord zu verüben und diesen mit seinen Thesen zu rechtfertigen; am Ende steht er hilflos vor diesem menschlichen Abgrund, in den er nicht nur hineingezogen wurde, sondern den er sogar mit heraufbeschworen hat.
",True
868,"In Das Fenster zum Hof stellt Stewart eine Figur dar, die bindungsscheu sowie körperlich beeinträchtigt und voyeuristisch veranlagt ist und dadurch in Schwierigkeiten kommt.
","In Das Fenster zum Hof stellt Stewart eine Figur dar, die bindungsscheu sowie körperlich beeinträchtigt und voyeuristisch veranlagt ist und dadurch in Schwierigkeiten kommt.
","In das Fenster zum Hof stellt Stewart eine Figur dar, die bindungsscheu sowie körperlich beeinträchtigt und voyeuristisch veranlagt ist und dadurch in Schwierigkeiten kommt.
",False
869,"Es gibt nur wenige positive, ungebrochene Helden bei Hitchcock.
","Es gibt nur wenige positive, ungebrochene Helden bei Hitchcock.
","Es gibt nur wenige positive, ungebrochene Helden bei Hitchcock.
",False
870,"Ein Schauspieler, der diesen seltenen Rollentypus verkörperte, war Cary Grant in Über den Dächern von Nizza und in Der unsichtbare Dritte.
","Ein Schauspieler, der diesen seltenen Rollentypus verkörperte, war Cary Grant in Über den Dächern von Nizza und in Der unsichtbare Dritte.
","Ein Schauspieler, der diesen seltenen Rollentypus verkörperte, war Cary Grant in über den Dächern von Nizza und in Der unsichtbare Dritte.
",False
871,"Diese Figuren meistern die Herausforderungen zwar mit Charme und Leichtigkeit, doch stehen sie in Verdacht, kriminell zu sein
","Diese Figuren meistern die Herausforderungen zwar mit Charme und Leichtigkeit, doch stehen sie in Verdacht, kriminell zu sein
","Diese Figuren meistern die Herausforderungen zwar mit Charme und Leichtigkeit, doch stehen sie in Verdacht, kriminell zu sein
",False
872,"beziehungsweise verlieren sie zeitweise die Kontrolle, womit selbst sie keine gänzlich unantastbaren Helden sein können.
","beziehungsweise verlieren sie zeitweise die Kontrolle, womit selbst sie keine gänzlich unantastbaren Helden sein können.
","Beziehungsweise verlieren sie zeitweise die Kontrolle, womit selbst sie keine gänzlich unantastbaren Helden sein können.
",False
873,"Aber sogar Cary Grant spielt in zwei seiner Hitchcock-Filme Figuren, deren Schattenseiten sich zeitweise vor deren positive Merkmale schieben.
","Aber sogar Cary Grant spielt in zwei seiner Hitchcock-Filme Figuren, deren Schattenseiten sich zeitweise vor deren positive Merkmale schieben.
","Aber sogar Cary Grant spielt in zwei seiner Hitchcock-Filme Figuren, deren Schattenseiten sich zeitweise vor deren positive Merkmale schieben.
",False
874,"Im Laufe der Karriere Hitchcocks gewinnen ambivalente oder gar negativ gezeichnete Hauptfiguren immer stärker an Gewicht.
","Im Laufe der Karriere Hitchcocks gewinnen ambivalente oder gar negativ gezeichnete Hauptfiguren immer stärker an Gewicht.
","Im Laufe der Karriere Hitchcocks gewinnen ambivalente oder gar negativ gezeichnete Hauptfiguren immer stärker an Gewicht.
",False
875,"Diese Antihelden weisen physische oder psychische Probleme auf, sind Verlierertypen oder unsympathisch.
","Diese Antihelden weisen physische oder psychische Probleme auf, sind Verlierertypen oder unsympathisch.
","Diese Antihelden weisen physische oder psychische Probleme auf, sind Verlierertypen oder unsympathisch.
",False
876,"Durch ihr obsessives Fehlverhalten wirken sie schwach und können Schaden anrichten.
","Durch ihr obsessives Fehlverhalten wirken sie schwach und können Schaden anrichten.
","Durch ihr obsessives Fehlverhalten wirken sie schwach und können Schaden anrichten.
",False
877,"Diese Figuren dienen zwar kaum als Vorbild, doch soll deren ambivalente Persönlichkeit dazu beitragen, dass sich der Zuschauer in ihnen wiederfinden kann.
","Diese Figuren dienen zwar kaum als Vorbild, doch soll deren ambivalente Persönlichkeit dazu beitragen, dass sich der Zuschauer in ihnen wiederfinden kann.
","Diese Figuren dienen zwar kaum als Vorbild, doch soll deren ambivalente Persönlichkeit dazu beitragen, dass sich der Zuschauer in ihnen wiederfinden kann.
",False
878,"In vielen Filmen bedient Hitchcock auf den ersten Blick das klassische Motiv der schwachen, zu beschützenden Frau.
","In vielen Filmen bedient Hitchcock auf den ersten Blick das klassische Motiv der schwachen, zu beschützenden Frau.
","In vielen Filmen bedient Hitchcock auf den ersten Blick das klassische Motiv der schwachen, zu beschützenden Frau.
",False
879,"Doch während das Klischee verlangt, dass der strahlende Held sie rettet, ist sie bei Hitchcock oft auf sich alleine gestellt.
","Doch während das Klischee verlangt, dass der strahlende Vorbild sie rettet, ist sie bei Hitchcock oft auf sich alleine gestellt.
","Doch während das Klischee verlangt, dass das strahlende Vorbild sie rettet, ist sie bei Hitchcock oft auf sich alleine gestellt.
",True
880,"In einigen Fällen ist der vermeintliche Beschützer schwach oder zu sehr mit sich selbst beschäftigt, als dass er der bedrohten Frau helfen könnte, wie zum Beispiel Ingrid Bergman und Cary Grant in Berüchtigt.
","In einigen Fällen ist der vermeintliche Beschützer schwach oder zu sehr mit sich selbst beschäftigt, als dass er der bedrohten Frau helfen könnte, wie zum Beispiel Ingrid Bergman und Cary Grant in Berüchtigt.
","In einigen Fällen ist der vermeintliche Beschützer schwach oder zu sehr mit sich selbst beschäftigt, als dass er der bedrohten Frau helfen könnte, wie zum Beispiel Ingrid Bergman und Cary Grant in Berüchtigt.
",False
881,"In anderen Fällen geht von der männlichen Hauptfigur (in der Regel dem Ehemann) sogar ein tatsächliches oder vermeintliches Bedrohungspotential aus.
","In anderen Fällen geht von der männlichen Hauptfigur (in der Regel dem Ehemann) sogar ein tatsächliches oder vermeintliches Bedrohungspotential aus.
","In anderen Fällen geht von der männlichen Hauptfigur (in der Regel dem Ehemann) sogar ein tatsächliches oder vermeintliches Bedrohungspotential aus.
",False
882,"Klassische Beispiele: Joan Fontaine und Cary Grant in Verdacht sowie Grace Kelly und Ray Milland in Bei Anruf Mord.
","Klassische Beispiele: Joan Fontaine und Cary Grant in Verdacht sowie Grace Kelly und Ray Milland in Bei Anruf Mord.
","Klassische Beispiele: Joan Fontaine und Cary Grant in Verdacht sowie Grace Kelly und Ray Milland in bei Anruf Mord.
",False
883,"Die Rollenverteilung zwischen Mann und Frau kehrt Hitchcock in einigen Filmen gänzlich um: Die Frau ist dem Mann, der zunehmend passiver wird, überlegen und wendet das Geschehen zum Guten.
","Die Rollenverteilung zwischen Mann und Frau kehrt Hitchcock in einigen Filmen gänzlich um: Die Frau ist dem Mann, der zunehmend passiver wird, überlegen und wendet das Geschehen zum Guten.
","Die Rollenverteilung zwischen Mann und Frau kehrt Hitchcock in einigen Filmen gänzlich um: Die Frau ist dem Mann, der zunehmend passiver wird, überlegen und wendet das Geschehen zum Guten.
",False
884,"Beispiele sind Jung und unschuldig (die Tochter des Polizeichefs verhilft einem Verdächtigen zur Flucht und löst letztendlich den Fall), Ich kämpfe um dich (eine Psychologin dringt in das Unterbewusste des Mordverdächtigen ein und rettet ihn vor der sicheren Verurteilung) sowie Der Mann, der zuviel wußte (die Ehefrau verhindert zuerst einen geplanten Mord und rettet dann das eigene Kind vor den Verbrechern).
","Beispiele sind Jung und unschuldig (die Tochter des Polizeichefs verhilft einem Verdächtigen zur Flucht und löst letztendlich den Fall), Ich kämpfe um dich (eine Psychologin dringt in das Unterbewusste des Mordverdächtigen ein und rettet ihn vor der sicheren Verurteilung) sowie Der Mann, der zuviel wußte (die Ehefrau verhindert zuerst einen geplanten Mord und rettet dann das eigene Kind vor den Verbrechern).
","Beispiele sind Jung und unschuldig (die Tochter des Polizeichefs verhilft einem Verdächtigen zur Flucht und löst letztendlich den Fall), Ich kämpfe um dich (eine Psychologin dringt in das Unterbewusste des Mordverdächtigen ein und rettet ihn vor der sicheren Verurteilung) sowie der Mann, der zu viel wusste (die Ehefrau verhindert zuerst einen geplanten Mord und rettet dann das eigene Kind vor den Verbrechern).
",False
885,"Der Typ, der sich dabei im Laufe der Zeit herauskristallisierte, ist jener der jungen, schönen, kühlen, hintergründigen und undurchsichtigen Blondine.
","Der Typ, der sich dabei im Laufe der Zeit herauskristallisierte, ist jener der jungen, schönen, kühlen, hintergründigen und undurchsichtigen Blondine.
","Der Typ, der sich dabei im Laufe der Zeit herauskristallisierte, ist jener der jungen, schönen, kühlen, hintergründigen und undurchsichtigen Blondine.
",False
886,"Die oberflächliche Kühle der Hitchcock-Blondine verbirgt jedoch eine stark entwickelte Sexualität.
","Die oberflächliche Kühle der Hitchcock-Blondine verbirgt jedoch eine stark entwickelte Sexualität.
","Die oberflächliche Kühle der Hitchcock-Blondine verbirgt jedoch eine stark entwickelte Sexualität.
",False
887,"Besonders deutlich wird dies in Der unsichtbare Dritte, wenn Eva Marie Saint zunächst gegenüber Cary Grant zweideutige Bemerkungen macht, dann plötzlich den völlig überraschten Fremden küsst und ihn ohne Zögern in ihrem Schlafwagenabteil unterbringt.
","Besonders deutlich wird dies in Der unsichtbare Dritte, wenn Eva Marie Saint zunächst gegenüber Cary Grant zweideutige Bemerkungen macht, dann plötzlich den völlig überraschten Fremden küsst und ihn ohne Zögern in ihrem Schlafwagenabteil unterbringt.
","Besonders deutlich wird dies in Der unsichtbare Dritte, wenn Eva Marie Saint zunächst gegenüber Cary Grant zweideutige Bemerkungen macht, dann plötzlich den völlig überraschten Fremden küsst und ihn ohne Zögern in ihrem Schlafwagenabteil unterbringt.
",False
888,"Nicht der Mann, sondern die (blonde) Frau spielt hier den aktiven Part und zeigt damit die Fragilität des männlichen, bürgerlichen Weltbildes.
","Nicht der Mann, sondern die (blonde) Frau spielt hier den aktiven Part und zeigt damit die Fragilität des männlichen, bürgerlichen Weltbildes.
","Nicht der Mann, sondern die (blonde) Frau spielt hier den aktiven Part und zeigt damit die Fragilität des männlichen, bürgerlichen Weltbildes.
",False
889,"Je gelungener der Schurke ist, umso gelungener ist der Film.
","Je gelungener der Schurke ist, umso gelungener ist der Film.
","Je gelungener der Schurke ist, umso gelungener ist der Film.
",False
890,"Hitchcock legt durch seine Gestaltung von Figuren und Dramaturgie dem Zuschauer eine Identifikation mit dem Schurken nahe.
","Hitchcock legt durch seine Gestaltung von Figuren und Dramaturgie dem Zuschauer eine Identifikation mit dem Schurken nahe.
","Hitchcock legt durch seine Gestaltung von Figuren und Dramaturgie dem Zuschauer eine Identifikation mit dem Schurken nahe.
",False
891,"Seine Antagonisten wirken zuweilen auffällig sympathisch und übertreffen mitunter die Ausstrahlung der Hauptfiguren.
","Seine Antagonisten wirken zuweilen auffällig sympathisch und übertreffen mitunter die Ausstrahlung der Hauptfiguren.
","Seine Antagonisten wirken zuweilen auffällig sympathisch und übertreffen mitunter die Ausstrahlung der Hauptfiguren.
",False
892,"Oft konkurrieren Held und Bösewicht um dieselbe Frau; die Liebe des Gegenspielers erscheint dabei tiefer und aufrichtiger als die des Helden.
","Oft konkurrieren Vorbild und Bösewicht um dieselbe Frau; die Liebe des Gegenspielers erscheint dabei tiefer und aufrichtiger als die des Vorbilden.
","Oft konkurrieren Vorbild und Bösewicht um dieselbe Frau; die Liebe des Gegenspielers erscheint dabei tiefer und aufrichtiger als die des Vorbilden.
",True
893,"Besonders auffällig ist dies in Berüchtigt (Claude Rains gegenüber Cary Grant) und in Der unsichtbare Dritte (James Mason wiederum gegenüber Cary Grant).
","Besonders auffällig ist dies in Berüchtigt (Claude Rains gegenüber Cary Grant) und in Der unsichtbare Dritte (James Mason wiederum gegenüber Cary Grant).
","Besonders auffällig ist dies in Berüchtigt (Claude Rains gegenüber Cary Grant) und in Der unsichtbare Dritte (James Mason wiederum gegenüber Cary Grant).
",False
894,"Selbst ein ausgesprochen heimtückischer Schurke wie Ray Milland in Bei Anruf Mord wirkt in einzelnen Momenten gegenüber dem unbeholfenen Robert Cummings sympathischer, in jedem Fall jedoch gegenüber der Polizei vertrauenserweckender.
","Selbst ein ausgesprochen heimtückischer Schurke wie Ray Milland in Bei Anruf Mord wirkt in einzelnen Momenten gegenüber dem unbeholfenen Robert Cummings sympathischer, in jedem Fall jedoch gegenüber der Polizei vertrauenserweckender.
","Selbst ein ausgesprochen heimtückischer Schurke wie Ray Milland in bei Anruf Mord wirkt in einzelnen Momenten gegenüber dem unbeholfenen Robert Cummings sympathischer, in jedem Fall jedoch gegenüber der Polizei vertrauenserweckender.
",False
895,"Oft sind sie die eigentlichen Hauptfiguren, wie Joseph Cotten als charmanter Witwenmörder in Im Schatten des Zweifels oder Anthony Perkins als linkischer, von seiner Mutter gepeinigter Mörder in Psycho.
","Oft sind sie die eigentlichen Hauptfiguren, wie Joseph Cotten als charmanter Witwenmörder in Im Schatten des Zweifels oder Anthony Perkins als linkischer, von seiner Elternteil gepeinigter Mörder in Psycho.
","Oft sind sie die eigentlichen Hauptfiguren, wie Joseph Cotten als charmanter Witwenmörder in im Schatten des Zweifels oder Anthony Perkins als linkischer, von seinem Elternteil gepeinigter Mörder in Psycho.
",True
896,"In vielen seiner Filme – ab Mitte der 1940er Jahre regelmäßig – tauchen dominante Mütter auf, die einen beunruhigenden Einfluss auf ihre meist erwachsenen Kinder ausüben und zum Teil Auslöser oder Ursache dramatischer Ereignisse sind.
","In vielen seiner Filme – ab Mitte der 1940er Jahre regelmäßig – tauchen dominante Mütter auf, die einen beunruhigenden Einfluss auf ihre meist erwachsenen Kinder ausüben und zum Teil Auslöser oder Ursache dramatischer Ereignisse sind.
","In vielen seiner Filme – ab Mitte der 1940er Jahre regelmäßig – tauchen dominante Mütter auf, die einen beunruhigenden Einfluss auf ihre meist erwachsenen Kinder ausüben und zum Teil Auslöser oder Ursache dramatischer Ereignisse sind.
",False
897,"Erstmals uneingeschränkt bösartig erscheint die Mutter in Berüchtigt (1946), die ihren Sohn zum Mord an der Frau, die er liebt, antreibt.
","Erstmals uneingeschränkt bösartig erscheint die Elternteil in Berüchtigt (1946), die ihren Sohn zum Mord an der Frau, die er liebt, antreibt.
","Erstmals uneingeschränkt bösartig erscheint die Elternteile in Berüchtigt (1946), die ihren Sohn zum Mord an der Frau, die er liebt, antreibt.
",True
898,"Der extremste Fall tritt in Psycho (1960) zutage, wo die tote Mutter noch von ihrem Sohn Besitz ergreift und ihn zu ihrem mordenden Werkzeug werden lässt.
","Der extremste Fall tritt in Psycho (1960) zutage, wo die tote Elternteil noch von ihrem Sohn Besitz ergreift und ihn zu ihrem mordenden Werkzeug werden lässt.
","Der extremste Fall tritt in Psycho (1960) zutage, wo der tote Elternteil noch von ihrem Sohn Besitz ergreift und ihn zu ihrem mordenden Werkzeug werden lässt.
",True
899,"Daneben gibt es eine Vielzahl weniger dämonischer Variationen, wobei Besitzergreifung allen Mutter-Typen gemein ist:
","Daneben gibt es eine Vielzahl weniger dämonischer Variationen, wobei Besitzergreifung allen Mutter-Typen gemein ist:
","Daneben gibt es eine Vielzahl weniger dämonischer Variationen, wobei Besitzergreifung allen Mutter-Typen gemein ist:
",False
900,"In Die Vögel (1963) erträgt es die Mutter von Mitch (Jessica Tandy) nicht, dass ihr erwachsener Sohn (Rod Taylor) sich für eine andere Frau interessiert.
","In Die Vögel (1963) erträgt es die Elternteil von Mitch (Jessica Tandy) nicht, dass ihr erwachsener Sohn (Rod Taylor) sich für eine andere Frau interessiert.
","In die Vögel (1963) erträgt es die Elternteile von Mitch (Jessica Tandy) nicht, dass ihr erwachsener Sohn (Rod Taylor) sich für eine andere Frau interessiert.
",True
901,"In Marnie (1964) wird das Leben der Tochter durch einen von der Mutter übertragenen Schuldkomplex beinahe zerstört.
","In Marnie (1964) wird das Leben der Tochter durch einen von der Elternteil übertragenen Schuldkomplex beinahe zerstört.
","In Marnie (1964) wird das Leben der Tochter durch einen von dem Elternteil übertragenen Schuldkomplex beinahe zerstört.
",True
902,"In zwei Filmen variiert Hitchcock dieses Rollenmuster: In Rebecca und Sklavin des Herzens übernehmen Haushälterinnen die Funktion der dämonischen Mutter.
","In zwei Filmen variiert Hitchcock dieses Rollenmuster: In Rebecca und Sklavin des Herzens übernehmen Haushälterinnen die Funktion der dämonischen Mutter.
","In zwei Filmen variiert Hitchcock dieses Rollenmuster: In Rebecca und Sklavin des Herzens übernehmen Haushälterinnen die Funktion der dämonischen Mutter.
",False
