index,gendered,inclusive_form
351,Eine Verwaltung im Kontakt mit den Menschen ist wichtig für das Vertrauen der Bevölkerung.,"Eine Verwaltung, die aktiv im Kontakt mit den Menschen steht und alle Bürgerinnen, Bürger sowie Personen mit unterschiedlichen Geschlechtsidentitäten anspricht, spielt eine entscheidende Rolle für den Aufbau und das Vertrauen der gesamten Bevölkerung. Die Interaktion mit den Menschen ist wichtig, um eine transparente und inklusive Kommunikation zu fördern, die die Bedürfnisse und Anliegen aller Mitglieder der Gemeinschaft berücksichtigt, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren."
352,Dier Bürgermeister:in zeigte große Bürger:innähe durch deren regelmäßigen Sprechstunden.,"Die Person, die das Amt der Bürgermeisterin oder des Bürgermeisters innehat, zeigt große Nähe zu den Bürgerinnen, Bürgern und allen weiteren Personen in der Gemeinde, indem sie regelmäßige Sprechstunden anbietet, die allen offenstehen, unabhängig davon, wie die jeweiligen Personen sich in Bezug auf Geschlecht und Geschlechtsidentität identifizieren."
353,Der Bevölkerungsrat diskutierte über die neuen Bauprojekte in der Stadt.,"Der Bevölkerungsrat, bestehend aus Personen, die unterschiedliche Geschlechtsidentitäten und Hintergründe vertreten, diskutierte über die neuen Bauprojekte in der Stadt. Diese Diskussion beinhaltete Beiträge von Menschen, die sich als Frauen, Männer oder nicht-binär identifizieren, sowie von Individuen, die sich in anderen Geschlechtsidentitäten verstehen. Ziel der Gespräche war es, die Perspektiven aller Anwesenden einzubeziehen, um eine Vielzahl von Ansichten und Bedürfnissen zu berücksichtigen, die die Gemeinschaft betreffen."
354,Jede:r sollte deren Bürger/inrechte kennen und nutzen.,"Jede Person, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, sei es eine Frau, ein Mann, eine nicht-binäre Person, ein Genderfluid oder jemand, der sich außerhalb der traditionellen Geschlechtskategorien identifiziert, sollte sich mit ihren Bürgerrechten vertraut machen und diese aktiv nutzen. Die Rechte und Pflichten, die mit dem Bürger- oder Einwohnerstatus verbunden sind, betreffen alle Menschen in der Gesellschaft und es ist wichtig, dass jede:r, gleich welcher Identität, die Möglichkeiten kennt, die sich aus diesen Rechten ergeben."
355,Die Zivilrechtsbewegung kämpfte für Gleichberechtigung und Gerechtigkeit.,"Die Zivilrechtsbewegung, die sich für die Rechte und die Gleichbehandlung aller Menschen unabhängig von ihrem Geschlecht, ihrer Geschlechtsidentität, ethnischen Herkunft, sexuellen Orientierung oder anderen sozialen Identitäten eingesetzt hat, kämpfte für Gleichberechtigung und Gerechtigkeit in der Gesellschaft. Diese Bewegung schloss Menschen ein, die sich als Männer, Frauen, nicht-binär, genderfluid oder durch andere Geschlechtsidentitäten definieren, und stellte sicher, dass sämtliche Stimmen und Perspektiven Gehör fanden, um eine inklusive und faire Gesellschaft zu fördern."
356,Die BürgerInvertretung brachte die Anliegen der EinwohnerInnen ins Rathaus.,"Die Vertretung der Bürgerinnen, Bürger und aller weiteren Personen, die in der Gemeinde wohnen oder sich als Einwohner oder Einwohnerinnen identifizieren, hat die Anliegen und Bedürfnisse der gesamten Gemeinschaft ins Rathaus gebracht. Dies schließt Menschen ein, die sich als nicht-binär, genderqueer oder mit einer anderen Geschlechtsidentität identifizieren, um sicherzustellen, dass die Perspektiven und Anliegen aller Mitglieder der Gemeinschaft gehört und berücksichtigt werden."
357,"Die Bürger:inwissenschaft ermöglicht es Lai:innen, an wissenschaftlichen Projekten teilzunehmen.","Die Bürger:innenwissenschaft, auch bekannt als Citizen Science, ermöglicht es allen interessierten Personen – unabhängig davon, ob sie sich als Bürger, Bürgerinnen oder mit einer anderen Geschlechtsidentität identifizieren –, aktiv an wissenschaftlichen Projekten teilzunehmen. Diese Initiative eröffnete außergewöhnliche Möglichkeiten für Menschen aus verschiedenen Lebensbereichen und Geschlechtsidentitäten, sich mit Forschenden zusammenzuschließen und zur wissenschaftlichen Erkenntnis beizutragen, wobei sowohl Laien als auch Expert:innen aller Geschlechtsidentitäten ermutigt werden, ihr Wissen und ihre Perspektiven einzubringen."
358,Das bürger*inwissenschaftliche Projekt sammelte Daten zur Luftqualität.,"Das bürger*inwissenschaftliche Projekt, das die engagierte Mitwirkung von Menschen mit unterschiedlichen Geschlechtsidentitäten, darunter Frauen, Männer und nicht-binäre Personen, sowie Menschen, die sich außerhalb der traditionellen Geschlechterkategorien identifizieren, umfasst, sammelte Daten zur Luftqualität. Dabei wurden verschiedene Perspektiven und Erfahrungen berücksichtigt, um ein umfassenderes Verständnis der Luftqualität zu gewinnen und die Anliegen aller Community-Mitglieder zu integrieren."
359,"Der landwirtschaftliche Betrieb produziert Nahrungsmittel.
","Der landwirtschaftliche Betrieb, der von einer vielfältigen Gruppe von Personen geführt wird, unabhängig davon, ob sie sich als Frau, Mann oder in einer anderen Geschlechtsidentität identifizieren, produziert Nahrungsmittel. Diese Gruppe umfasst Landwirtinnen, Landwirte sowie Menschen, die sich außerhalb der traditionellen Geschlechtskategorien definieren, und alle arbeiten gemeinsam daran, eine nachhaltige und vielfältige Lebensmittelproduktion sicherzustellen."
360,"Die bergbaulichen Hohlräume wurden auf ihre Stabilität überprüft, um mögliche Gefahren zu vermeiden.","Die bergbaulichen Hohlräume, in denen unterschiedliche Personen, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, tätig sind oder waren, wurden sorgsam auf ihre Stabilität überprüft. Dies geschieht, um potenzielle Gefahren für alle, die sich in diesen Bereichen aufhalten oder arbeiten, zu vermeiden, unabhängig davon, ob es sich um Männer, Frauen oder Personen anderer Geschlechtsidentitäten handelt, die sich in der Bergbauindustrie engagieren."
361,"Die Besucher:inanschrift wurde für die Einladung zum Event verwendet, um sicherzustellen, dass alle informiert wurden.","Die Anschrift der Person, die das Event besucht, wurde für die Einladung zu dieser Veranstaltung verwendet, um sicherzustellen, dass alle Menschen, unabhängig von ihrer Geschlechtsidentität oder -ausdruck, informiert wurden. Dies umfasst nicht nur Frauen und Männer, sondern auch non-binäre, genderqueere und andere Personen, die sich möglicherweise außerhalb der traditionellen Geschlechterkategorien einordnen."
362,Die Betreiber/inverantwortung umfasst die Einhaltung aller Sicherheitsvorschriften und die regelmäßige Wartung der Anlagen.,"'Die Person oder Personen, die für den Betrieb verantwortlich sind, unabhängig davon, ob sie sich als weiblich, männlich oder einer anderen Geschlechtsidentität zugehörig fühlen, haben die Aufgabe, alle Sicherheitsvorschriften einzuhalten und die Anlagen regelmäßig zu warten. Dies schließt sowohl individuelle Betreiberinnen und Betreiber als auch Teams ein, die aus Personen mit verschiedenen Geschlechtsidentitäten bestehen, um eine sichere und funktionsfähige Umgebung zu gewährleisten.'"
363,Dier Biografieträger/in archivierte wichtige Lebensereignisse und Dokumente der porträtierten Person.,"Die Person, die für die Archivierung der wichtigen Lebensereignisse und Dokumente der porträtierten Person verantwortlich ist, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, hat sich um die sorgfältige Dokumentation dieser bedeutenden Aspekte des Lebens dieser Person gekümmert. Dabei zeigt diese Person wechselseitigen Respekt für alle Geschlechtsidentitäten und stellt sicher, dass die Vielfalt der Lebensrealitäten angemessen erfasst und bewahrt wird."
364,Die campende Person verbringt gerne Zeit in der Natur und genießt das Zelten auf dem Zeltplatz.,"Die Person, die gerne campt, verbringt viel Zeit in der Natur und erfreut sich am Zelten auf dem Zeltplatz, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert. Diese Person schätzt die Erfahrungen, die die Natur bietet, und findet Freude daran, in einem Zelt zu übernachten, die frische Luft zu genießen und die Schönheit der Umgebung zu erkunden, ungeachtet ihrer individuellen Geschlechtsidentität oder ihres persönlichen Hintergrundes."
365,"Dey arbeitet als Chauffeurie, dey bringt immer all deren Kund/innen sicher ans Ziel","Dey, eine Person, die im Beruf als Fahrdienstleisterin, Fahrer oder in einem ähnlichen Bereich tätig ist, bringt stets alle deren Kundinnen, Kunden und weitere Personen, die möglicherweise eine andere Geschlechtsidentität haben oder nicht in die traditionellen Kategorien fallen, sicher an ihr Ziel."
366,"Die vorgesetzte Person ist für die Leitung und Organisation des Teams verantwortlich.
","Die Person, die in der hierarchischen Struktur als vorgesetzt gilt und die Verantwortung für die Leitung sowie die Organisation des Teams trägt, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, ist für diese Aufgaben zuständig. Diese Verantwortung umfasst die Förderung eines inklusiven Arbeitsumfeldes und die Unterstützung aller Teammitglieder, egal wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definieren."
367,Dier Chefärzt*in garantiert den Patient*innen eine erstklassige medizinische Versorgung,"Die Person, die die Position der Chefärztin oder des Chefarztes innehat und sich möglicherweise auch mit einer anderen Geschlechtsidentität identifiziert, garantiert allen Patientinnen, Patienten und weiteren Personen, die medizinische Versorgung benötigen, eine erstklassige medizinische Betreuung, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität."
368,Das ist doch ChefInsache!,"„Das ist doch eine Angelegenheit, die von der Person, die in der Führungsposition oder als Führungskraft tätig ist, ganz gleich, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, behandelt werden sollte! Diese Person hat die Verantwortung für die Entscheidungsfindung in dieser speziellen Situation, und es ist wichtig zu betonen, dass Führung nicht an ein bestimmtes Geschlecht gebunden ist, sondern von unterschiedlichen Individuen übernommen werden kann, die alle zur Vielfalt des Führungspersonals beitragen.“"
369,Dier Chemiker/in entwickelte eine neue Formel für ein umweltfreundliches Reinigungsmittel.,"Die Person, die im Bereich der Chemie tätig ist und sich als Chemiker oder Chemikerin identifiziert oder sich möglicherweise mit einer anderen Geschlechtsidentität identifiziert, hat eine neue Formel für ein umweltfreundliches Reinigungsmittel entwickelt. Diese Formel könnte von Menschen genutzt werden, die verschiedene Geschlechtsidentitäten haben und sich in der Wissenschaft oder industriellen Anwendungen engagieren."
370,Dier Chirurg/in führte eine komplizierte Operation erfolgreich durch.,"Die Person, die als Chirurg oder Chirurgin arbeitet und über die notwendigen Qualifikationen und Erfahrungen verfügt, und die möglicherweise auch andere Geschlechtsidentitäten hat oder sich außerhalb der traditionellen Geschlechterkategorien identifiziert, hat eine komplizierte Operation erfolgreich durchgeführt."
371,Bei der Fortbildung lernen die Chirurg/innen die neuesten Techniken der Herz-Thorax-Chirurgie.,"Bei der Fortbildung haben die Personen, die als Chirurgen oder Chirurginnen tätig sind, sowie alle anderen, die sich in diesem Bereich bewegen und möglicherweise jenseits der traditionellen Geschlechtskategorien identifizieren, die Möglichkeit, die neuesten Techniken der Herz-Thorax-Chirurgie zu erlernen. Dies schließt sowohl Menschen ein, die sich als Männer oder Frauen verstehen, als auch nicht-binäre Personen, Genderqueer-Personen und alle anderen Geschlechtsidentitäten, um ein umfassendes und inklusives Lernumfeld zu schaffen."
372,Für Christ_innen ist Ostern ein wichtiges Fest. Dort feiern sie die Auferstehung von Jesus Christus.,"Für alle Menschen, die sich als Christinnen, Christen oder mit einer anderen Geschlechtsidentität identifizieren und den christlichen Glauben praktizieren, ist Ostern ein bedeutendes Fest. In diesem feierlichen Kontext feiern sie die Auferstehung von Jesus Christus, was für diese Gemeinschaft von Menschen, unabhängig von ihrer Geschlechtsidentität oder -ausdruck, eine zentrale Bedeutung hat."
373,Dier Clown_in brachte die Kinder zum Lachen.,"„Die Person, die als Clown oder Clownin auftritt und die Kinder zum Lachen bringt, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, sorgt für fröhliche Momente und zaubert den Kindern ein Lächeln ins Gesicht.“"
374,Dier Coach:in motivierte das Team vor dem wichtigen Spiel.,"Die Person, die als Coach oder Trainer:in tätig ist und das Team vor dem wichtigen Spiel motivierte, unabhängig davon, ob sie sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifiziert, inspirierte alle Mitglieder des Teams, um ihr Bestes zu geben und sich gemeinsam auf das bevorstehende Spiel vorzubereiten."
375,Dier CoderIn programmierte eine neue App.,"'Die Person, die für das Programmieren der neuen App verantwortlich ist und sich als Coder oder Coderin identifiziert oder möglicherweise einer anderen Geschlechtsidentität angehört, hat eine innovative Anwendung entwickelt, die verschiedene Bedürfnisse und Anforderungen der Nutzerinnen, Nutzer und aller weiteren Personen berücksichtigt.'"
376,Die Geschwister 2. Grades spielten zusammen im Garten.,"Die Geschwister 2. Grades, also die Personen, die in der Familie als Cousins, Cousinen oder in ähnlichen verwandtschaftlichen Beziehungen definiert werden, spielten gemeinsam im Garten. Dies schließt alle Geschlechtsidentitäten ein, und umfasst sowohl diejenigen, die sich als männlich oder weiblich identifizieren, als auch all jene, die sich nicht in diese traditionellen Kategorien einordnen, wie beispielsweise nicht-binäre, genderqueere oder andere Geschlechtsidentitäten."
377,Dier Chorleiter_in dirigierte den Chor während des Konzerts.,"'Die Person, die die Leitung des Chores übernommen hat, unabhängig davon, ob sie sich als Chorleiter, Chorleiterin oder mit einer anderen Geschlechtsidentität identifiziert, dirigierte den Chor während des Konzerts. Dies umfasst alle Menschen, die in der Lage sind, diese Rolle auszufüllen, und schließt somit alle Geschlechtsidentitäten ein, die nicht nur in den traditionellen Kategorien von männlich und weiblich verankert sind.'"
378,Die Operationsinstrumente waren aus hochwertigem Chirurg:innenstahl gefertigt.,"Die Operationsinstrumente wurden aus hochwertigem Chirurg*innenstahl hergestellt, wobei dieser Begriff die gesamte Gruppe von Fachleuten umfasst, die in der Chirurgie tätig sind, egal ob sie sich als Chirurg, Chirurgin oder mit einer anderen Geschlechtsidentität identifizieren. Diese Materialien sind speziell und sorgfältig ausgewählt, um den höchsten Standards der medizinischen Praxis gerecht zu werden, und stellen somit sicher, dass sowohl die chirurgischen Fachkräfte als auch die Patient*innen von der Qualität und Präzision der Instrumente profitieren."
379,Die Chorleiter_innen dirigierten die Sänger_innen mit großer Leidenschaft.,"Die Personen, die das Chorleiteramt innehaben, unabhängig davon, ob sie sich als Männer, Frauen oder mit einer anderen Geschlechtsidentität identifizieren, dirigierten die Sängerinnen, Sänger und alle weiteren Personen, die Teil des Chores sind und sich mit verschiedenen Geschlechtsidentitäten identifizieren, mit großer Leidenschaft."
380,Dier Cyber-Erpresser*in forderte ein Lösegeld in Bitcoin.,"Die Person, die im Bereich der Cyber-Erpressung tätig ist, forderte ein Lösegeld in Form von Bitcoin. Diese Person könnte sich entweder als Mann, Frau oder mit einer anderen Geschlechtsidentität definieren, und ist in der Lage, die individuellen und vielfältigen Identitäten, die im Bereich der Cyber-Kriminalität existieren, zu repräsentieren."
381,Dier Callcenter Agent:in Miks hat wie immer eine super Leistung gezeigt.,"Die Person, die als Callcenter-Agent oder Callcenter-Agentin Miks tätig ist, hat wie immer eine hervorragende Leistung erbracht. Diese Person könnte sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren und hat durch ihr Engagement und ihre Professionalität dazu beigetragen, den Kundenservice in unserem Callcenter zu verbessern."
382,"Als Callcenteroperator ist es deren Aufgabe, die Anliegen der AnruferInnen professionell zu bearbeiten.
","'Die Personen, die als Callcenteroperatoren oder Callcenteroperatorinnen tätig sind, haben die wichtige Aufgabe, die Anliegen der Anruferinnen, Anrufer und aller anderen Personen, die anrufen und sich mit verschiedenen Geschlechtsidentitäten identifizieren, professionell zu bearbeiten. Dabei spielt es keine Rolle, wie sich diese Personen in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität verstehen; alle sind gleichermaßen dazu aufgerufen, die Anliegen der Anrufenden aufmerksam und respektvoll zu behandeln.'"
383,Die Casemangerin ist eine geschulte Fachkraft und findet eIne effiziente Lösung,"Die Person, die die Rolle der Casemanagerin oder des Casemanagers einnimmt und über die erforderliche Fachkompetenz und Schulung verfügt, ist als erfahrene Fachkraft anerkannt und arbeitet daran, eine effiziente Lösung zu finden, unabhängig davon, ob diese Person sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert."
384,Ich möchte die Chefärzt_inbehandlung.,"„Ich möchte die Behandlung durch die Person, die die Leitung in der ärztlichen Abteilung übernommen hat, unabhängig von deren Geschlechtsidentität, sei es Frau, Mann oder eine andere Identität, in Anspruch nehmen.“"
385,... Gewappnet sein gegen Cyper-Erpresser*innen.,"Um auf die Vielschichtigkeit der Geschlechtsidentität einzugehen und eine respektvolle Ansprache zu gewährleisten, könnte der Satz wie folgt umformuliert werden:

""Alle Personen, die sich auf verschiedene Weisen mit der Thematik des Cyber-Erpressens auseinandersetzen, seien es Männer, Frauen oder Personen, die sich außerhalb dieser traditionellen Geschlechtskategorien identifizieren, sollten gut informiert und vorbereitet sein, um sich gegen Cyber-Erpresserinnen, Cyber-Erpresser und andere Akteure in diesem Bereich zu wappnen."""
386,C,"Gerne! Bitte teile mir den Satz mit, den du gendergerecht und inklusiv umformuliert haben möchtest."
387,Deren Haus ist seit längerem im Bau.,"Das Haus, das den Personen gehört, die sich möglicherweise auf unterschiedliche Weise in Bezug auf ihre Geschlechtsidentität identifizieren, ist seit längerer Zeit im Bau. Diese Personen könnten sich als Männer, Frauen oder in einer anderen Geschlechtsidentität verstehen, und ihr gemeinsames Projekt zeigt die Vielfalt, die in der Gesellschaft vorhanden ist."
388,Deren Hose war blau.,"Die Hose der Person, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, war blau."
389,Dey geht heute Abend ins Kino.,"Die Person, die sich mit dem Namen Dey identifiziert und heute Abend ins Kino gehen möchte, plant, die Filmaufführung zu besuchen, unabhängig davon, welche Geschlechtsidentität Dey hat oder mit welcher Geschlechtsform Dey sich identifiziert."
390,Dey wollte deren Auto verkaufen.,"Die Person, die den Namen Dey trägt und sich möglicherweise als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, hatte den Wunsch, das Auto, das ihnen gehört, zu verkaufen. Dabei spielt es keine Rolle, ob die Person Dey sich in einer bestimmten Geschlechtskategorie verortet oder nicht; wichtig ist, dass sie die Entscheidung getroffen hat, das Fahrzeug in den Verkauf zu bringen."
391,Dier Forscher/in wirft spannende Fragen auf. ,"Die Person, die als Forscher oder Forscherin tätig ist und sich in dieser Rolle möglicherweise als Mann, Frau oder mit einer anderen Geschlechtsidentität versteht, wirft spannende Fragen auf, die die Diskussion in ihrem Fachgebiet bereichern und erweitern."
392,Die darstellende Person auf der Bühne beeindruckte das Publikum mit deren beeindruckenden Präsenz.,"Die Person, die auf der Bühne auftritt und zur darstellenden Kunst gehört, beeindruckte das Publikum mit ihrer außergewöhnlichen Präsenz, unabhängig davon, wie sich diese Person hinsichtlich ihres Geschlechts oder ihrer Geschlechtsidentität identifiziert, sei es als Frau, Mann oder eine andere Geschlechtsidentität, die möglicherweise nicht den traditionellen Kategorien entspricht."
393,"Das schauspielende Kind brachte mit seinem Talent und seiner Ausdrucksstärke das Publikum zum Staunen.
","Das Kind, das sich als Schauspieler oder Schauspielerin versteht und möglicherweise auch andere Geschlechtsidentitäten repräsentiert, begeistert mit seinem oder ihrem sowie allen anderen Ausdrucksweisen und Talenten das Publikum, welches aus Menschen besteht, die unterschiedliche Geschlechteridentitäten haben. Mit dieser Vielfalt in der Darstellung und den einzigartigen Fähigkeiten des Kindes wird das Publikum in seinen unterschiedlichen Formen des Staunens und der Bewunderung berührt."
394,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darsteller/innen besetzt.,"Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierter Darstellerinnen, Darstellern und allen anderen Personen, die sich als Schauspielende identifizieren und möglicherweise verschiedenen Geschlechtsidentitäten angehören, besetzt. Dieses Ensemble bringt eine reichhaltige Sammlung an Erfahrungen und Perspektiven auf die Bühne, die sowohl die Vielfalt der Geschlechter als auch unterschiedliche Ausdrucksformen im Theater widerspiegelt."
395,"Die Datenschutzbeauftragte sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben.","Die Person, die als Datenschutzbeauftragte oder Datenschutzbeauftragter tätig ist, sowie alle anderen, die in dieser Rolle Verantwortung übernehmen und sich mit verschiedenen Geschlechtsidentitäten identifizieren, sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben. Dies schließt sowohl diejenigen ein, die sich traditionell als weiblich oder männlich identifizieren, als auch jene, deren Geschlechtsidentität außerhalb dieser binären Kategorisierungen liegt, sowie alle, die sich als nicht-binär, genderfluid oder mit anderen Identitäten definieren."
396,Dier Demonstrant/in hielt deren Transparent in die Höhe.,"Die Person, die an der Demonstration teilnimmt und ein Transparent in die Höhe hält, kann sich als Demonstrantin, Demonstrant oder mit einer anderen Geschlechtsidentität identifizieren."
397,"Diejenige Person, die den Schatz zuerst findet, darf ihn behalten. ","Die Person, unabhängig von ihrer Geschlechtsidentität, die den Schatz zuerst findet, hat das Privileg, diesen Schatz zu behalten. Dies schließt alle Menschen ein, die sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren, sowie diejenigen, die sich als nicht-binär oder genderfluid verstehen."
398,Dier Detektiv:in verfolgte die Spur der verdächtigen Person.,"Die Person, die in der Rolle des Detektivs oder der Detektivin tätig ist, verfolgte die Spur der verdächtigen Person. Diese Person kann sich entweder als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifizieren. Sie nutzt ihre Fähigkeiten in der Ermittlungsarbeit, um Hinweise zu sammeln und potenzielle Verdächtige zu analysieren, unabhängig von den traditionellen Kategorien der Geschlechtsidentität."
399,Dier Deutsche genießt deren Feierabendbier im Biergarten.,"Die Person, die die deutsche Staatsangehörigkeit besitzt oder sich mit der deutschen Kultur identifiziert, genießt ihr Feierabendbier im Biergarten, unabhängig davon, ob diese Person als Frau, Mann oder mit einer anderen Geschlechtsidentität lebt und denkt."
400,"Dier Developing Employee ist bekannt für deren hilfreichen Code Reviews, für die deren Kollegschaft dem sehr dankbar sind.","Die Person, die im Bereich der Entwicklung tätig ist und als 'Developing Employee' bezeichnet wird, ist bekannt für ihre hilfreichen Code Reviews. Ihre Kolleginnen, Kollegen und alle weiteren Teammitglieder, die sich auf vielfältige Weise mit unterschiedlichen Geschlechtsidentitäten identifizieren, sind ihr für diese wertvolle Unterstützung und Expertise sehr dankbar."
401,Dier Dichter:in schrieb ein wunderschönes Gedicht über die Natur.,"Die Person, die die Kunst des Dichtens praktiziert und als Dichter oder Dichterin wahrgenommen wird, unabhängig von ihrer Geschlechtsidentität oder Geschlechtszugehörigkeit, hat ein wunderschönes Gedicht über die Natur verfasst. Dabei könnte es sich um jemand handeln, der sich als Mann, Frau, nicht-binär, genderqueer oder mit einer anderen Geschlechtsidentität identifiziert."
402,Dier Didaktiker_in entwickelte ein neues Lehrkonzept für den Sprachunterricht.,"Die Person, die sich auf die Didaktik spezialisiert hat und ein neues Lehrkonzept für den Sprachunterricht entwickelt hat, unabhängig davon, ob sie sich als Didaktiker, Didaktikerin oder mit einer anderen Geschlechtsidentität identifiziert, hat innovative Ansätze für den Sprachunterricht erschaffen, die auf die unterschiedlichen Bedürfnisse und Lernstile aller Lernenden abgestimmt sind."
403,Dier Dieb_in wurde auf frischer Tat ertappt.,"'Die Person, die den Diebstahl begangen hat, unabhängig davon, ob sie sich als Mann, Frau oder mit einer nicht-binären, genderqueeren oder anderen Geschlechtsidentität identifiziert, wurde auf frischer Tat ertappt.'"
404,Die Dieb:innen entkamen mit der Beute.,"Die Personen, die in dieser Situation als Diebinnen und Diebe identifiziert werden, illustrieren eine Vielzahl von Geschlechtsidentitäten. Diese Gruppen umfassen nicht nur Frauen und Männer, sondern alle anderen Individuen, die sich möglicherweise außerhalb dieser traditionellen Geschlechterkategorien definieren. Sie entkamen mit der Beute, unabhängig von ihrer individuellen Geschlechtsidentität oder -ausdruck."
405,Die Dienstleister*innen bietet exzellenten Service.,"Die Personen, die Dienstleistungen anbieten und sich als Dienstleister, Dienstleisterinnen oder mit einer anderen Geschlechtsidentität identifizieren, bieten exzellenten Service an, unabhängig davon, ob sie sich als männlich, weiblich oder nicht-binär verstehen."
406,Dier Diktator/in regiert das Land mit harter Hand.,"Die Person, die als Diktator oder Diktatorin das Land regiert, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, übt ihre Macht mit strenger Autorität aus."
407,Dier DolmetscherIn übersetzte das Gespräch in Echtzeit.,"'Die Person, die als Dolmetscher oder Dolmetscherin tätig ist und damit eine entscheidende Rolle bei der Übersetzung des Gesprächs in Echtzeit spielt, hat ihre Fähigkeiten eingesetzt, um sicherzustellen, dass alle Beteiligten, unabhängig von ihrer Geschlechtsidentität, die Informationen klar und verständlich erfassen können.'"
408,Die Dönerfachkraft bereitete den besten Döner der Stadt zu.,"'Die Person, die in der Dönerzubereitung tätig ist, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, bereitete den besten Döner der Stadt zu, und damit leistete sie einen hervorragenden Beitrag zur kulinarischen Vielfalt und zur Wertschätzung des Handwerks in der Gastronomie.'"
409,"Dier Dahergelaufene sah aus, als wäre dey den ganzen Tag durch den Regen gelaufen.","'Die Person, die zufällig vorbeigekommen ist, und die möglicherweise unterschiedliche Geschlechtsidentitäten hat oder sich außerhalb der traditionellen Geschlechterkategorien identifiziert, sah aus, als hätte sie den ganzen Tag über im Regen gestanden und wäre durch nasse Straßen gelaufen.'"
410,"Die junge Person mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
","Die junge Person, die mit einem Fahrrad mit tiefem Einstieg unterwegs ist, erfreute sich an der Leichtigkeit, die mit dem Ein- und Aussteigen verbunden ist. Diese Freude am unkomplizierten Zugang zu ihrem Fortbewegungsmittel steht unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität identifiziert, für die Freiheit und Mobilität, die ein solches Fahrrad bietet."
411,Die Kinderdarsteller/innen eroberten die Herzen des Publikums mit ihrer unbekümmerten Natürlichkeit.,"Die jungen Darstellerinnen, Darsteller und alle weiteren Personen, die in der Kinderdarstellung aktiv sind und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, eroberten die Herzen des Publikums mit ihrer unbekümmerten Natürlichkeit und ihrem authentischen Ausdruck. Diese talentierten Kinder, unabhängig davon, ob sie sich als Mädchen, Jungen oder mit einer anderen Identität verstehen, begeisterten die Zuschauer durch ihr unbeschwertes Spiel und ihre Vielfältigkeit in der Darstellung."
412,"Die Leitung des Dekanats hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten.","Die Personen, die die Leitung des Dekanats innehaben, haben die verantwortungsvolle Aufgabe, die Interessen und Belange aller Angehörigen der Fakultät zu koordinieren und zu leiten. Dies schließt alle Professorinnen, Professoren, Dozierenden sowie Mitarbeiterinnen, Mitarbeiter und Studierende ein, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definieren. Die Leitung verpflichtet sich, die Vielfalt innerhalb der Fakultät zu respektieren und zu fördern und darauf zu achten, dass alle Stimmen und Perspektiven Gehör finden."
413,Dier Delegierte vertrat unser Land bei der internationalen Konferenz.,"Die Person, die als Delegierte oder Delegierter unser Land bei der internationalen Konferenz vertreten hat, kann sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren. Diese Person hat die Verantwortung wahrgenommen, die Interessen unseres Landes auf dieser bedeutenden internationalen Plattform zu vertreten und dabei eine Vielzahl von Perspektiven und Erfahrungen einzubringen, die die Vielfalt der Gesellschaft widerspiegeln."
