gendered,male,female,enhanced,index
Übermorgen findet die Versammlung von Personen mit Aktienbesitz statt.,Übermorgen findet die Aktionärsversammlung statt.,Übermorgen findet die Aktionärinnenversammlung statt.,"Übermorgen findet die Versammlung von Personen statt, die Aktien besitzen, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",112
"Petra ist Allergiker:in, immer wenn dey am Niessen ist oder am Naseputzen ist, drehen sich Menschen in der Bahn um, damit sie sehen können, wer das war.","Petra ist Allergiker, immer wenn er am Niessen ist oder am Naseputzen ist, drehen sich Menschen in der Bahn um, damit sie sehen können, wer das war.","Petra ist Allergikerin, immer wenn sie am Niessen ist oder am Naseputzen ist, drehen sich Menschen in der Bahn um, damit sie sehen können, wer das war.","Petra ist eine Person, die an Allergien leidet, und immer wenn sie niesen muss oder ihre Nase putzt, drehen sich andere Menschen in der Bahn um, um zu sehen, wer dieses Geräusch verursacht hat. Dies geschieht unabhängig von der Geschlechtsidentität der Personen, die sich umdrehen, seien es Frauen, Männer oder Menschen mit anderen geschlechtlichen Identitäten.",113
Mo ist sehr begabt und ein/e Alleskönner/in.,Mo ist sehr begabt und ein Alleskönner.,Mo ist sehr begabt und eine Alleskönnerin.,"Mo ist eine sehr begabte Person, die in vielen verschiedenen Bereichen über herausragende Fähigkeiten verfügt und als Alleskönner*in bezeichnet werden kann. Dabei ist Mo unabhängig von Geschlechtsidentität oder -ausdruck, sei es als Frau, Mann oder jemand mit einer anderen geschlechtlichen Identität, sehr talentiert und vielseitig einsetzbar.",114
Dier AllgemeinmedizinerIn kümmert sich um die Gesundheit ihrer PatientInnen.,Der Allgemeinmediziner kümmert sich um die Gesundheit seiner Patienten.,Die Allgemeinmedizinerin kümmert sich um die Gesundheit ihrer Patientinnen.,"Die Allgemeinmedizinerinnen, Allgemeinmediziner und Personen mit anderen geschlechtlichen Identitäten, die in der Allgemeinmedizin tätig sind, kümmern sich um die Gesundheit ihrer Patientinnen, Patienten und aller weiteren Personen, die ihre medizinische Hilfe in Anspruch nehmen, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",115
"Josh, Pauli, und Thato sind Alltagsheld_innen, denn sie setzen sich jeden Tag für das Wohl anderer Menschen ein.","Josh, Pauli, und Thato sind Alltagshelden, denn sie setzen sich jeden Tag für das Wohl anderer Menschen ein.","Josh, Pauli, und Thato sind Alltagsheldinnn, denn sie setzen sich jeden Tag für das Wohl anderer Menschen ein.","Josh, Pauli und Thato sind Menschen, die im Alltag herausragende Leistungen erbringen und als Alltagsheldinnen und Alltagshelden gelten. Sie engagieren sich täglich für das Wohl anderer Menschen, unabhängig davon, welches Geschlecht oder welche Geschlechtsidentität sie haben. Ihr Einsatz trägt dazu bei, das Leben anderer zu bereichern und positive Veränderungen in der Gemeinschaft zu bewirken.",116
"Ich arbeite als ein:e Altenpfleger:in und habe oft Nachtdienst, was mich sehr ermüdet.","Ich arbeite als ein Altenpfleger und habe oft Nachtdienst, was mich sehr ermüdet.","Ich arbeite als eine Altenpflegerin und habe oft Nachtdienst, was mich sehr ermüdet.","Ich arbeite als Altenpflegerin, Altenpfleger oder in einem anderen geschlechtlichen Beruf als Fachkraft im Bereich der Altenpflege und habe häufig Nachtdienste, die mich sehr ermüden, unabhängig davon, ob ich mich als Frau, Mann oder eine Person mit einer anderen geschlechtlichen Identität verstehe.",117
AltersgenossInnen teilen oft ähnliche Erfahrungen und Interessen.,Altersgenossen teilen oft ähnliche Erfahrungen und Interessen.,Altersgenossinen teilen oft ähnliche Erfahrungen und Interessen.,"Altersgenossen, Altersgenossinnen und Personen anderer geschlechtlicher Identität, die im gleichen Altersbereich sind, teilen häufig ähnliche Erfahrungen und Interessen, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",118
Dier Amateur*in steht vor einer neuen Herausforderung.,Der Amateur steht vor einer neuen Herausforderung.,Die Amateurin steht vor einer neuen Herausforderung.,"Die Person, die sich als Amateur oder Amateurin identifiziert, sowie alle anderen geschlechtlichen Identitäten, steht vor einer neuen Herausforderung, die ihre Fähigkeiten und Kenntnisse auf die Probe stellt.",119
Die Amateur*innen machen ihre ersten Schritte in einem neuen Bereich.,Die Amateure machen ihre ersten Schritte in einem neuen Bereich.,Die Amateurinnen machen ihre ersten Schritte in einem neuen Bereich.,"Die Amateure, Amateurinnen und Personen mit anderen geschlechtlichen Identitäten, die sich als Anfängerinnen, Anfänger oder in einer anderen Form von Nicht-Experten in einem neuen Bereich betätigen, machen ihre ersten Schritte und beginnen, Erfahrungen und Kenntnisse in diesem neuen Umfeld zu sammeln, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",120
Dier AmtsinhaberIn trägt große Verantwortung für ihr Amt.,Der Amtsinhaber trägt große Verantwortung für sein Amt.,Die Amtsinhaberin trägt große Verantwortung für ihr Amt.,"Die Person, die das Amt innehat, unabhängig von deren Geschlechtsidentität – sei es eine Frau, ein Mann oder eine nicht-binäre, genderqueere oder andere geschlechtliche Identität – trägt eine große Verantwortung für die Ausübung ihrer Amtsgeschäfte und die damit verbundenen Aufgaben.",121
"Dier Analphabet*in hat Schwierigkeiten, gedruckte Texte zu verstehen. ","Der Analphabet hat Schwierigkeiten, gedruckte Texte zu verstehen. ","Die Analphabetin hat Schwierigkeiten, gedruckte Texte zu verstehen. ","Die Person, die als Analphabetin oder Analphabet identifiziert wird und möglicherweise auch andere geschlechtliche Identitäten hat, hat Schwierigkeiten, gedruckte Texte zu verstehen.",122
Dier Analytiker:in untersucht gründlich die vorliegenden Daten.,Der Analytiker untersucht gründlich die vorliegenden Daten.,Die Analytikerin untersucht gründlich die vorliegenden Daten.,"Die Analystin, der Analyst und Personen mit anderen geschlechtlichen Identitäten, die Analysen durchführen, untersuchen gründlich die vorliegenden Daten, um fundierte Erkenntnisse zu gewinnen und dazu beizutragen, die Fragestellungen umfassend zu verstehen.",123
Der Anfänger_inkurs bietet Teilnehmer_innen einen soliden Einstieg in das Thema.,Der Anfängerkurs bietet Teilnehmern einen soliden Einstieg in das Thema.,Der Anfängerinkurs bietet Teilnehmerinnen einen soliden Einstieg in das Thema.,"Der Anfänger:innenkurs bietet allen Personen, die daran teilnehmen möchten, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität – seien es Frauen, Männer oder Menschen mit anderen geschlechtlichen Identitäten – einen soliden Einstieg in das Thema.",124
Dier Anforder:in benötigt dringend zusätzliche Ressourcen.,Der Anforderer benötigt dringend zusätzliche Ressourcen.,Die Anforderin benötigt dringend zusätzliche Ressourcen.,"Die Person, die die Anforderungen stellt, benötigt dringend zusätzliche Ressourcen, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",125
Dier Animateur:in sorgt für Spaß und Unterhaltung in der Freizeitgruppe.,Der Animateur sorgt für Spaß und Unterhaltung in der Freizeitgruppe.,Die Animateurin sorgt für Spaß und Unterhaltung in der Freizeitgruppe.,"Die Animateurin, der Animateur und Personen mit anderen geschlechtlichen Identitäten, die in der Freizeitgruppe aktiv sind, sorgen für Spaß und Unterhaltung, sodass alle Teilnehmenden, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, eine angenehme und unterhaltsame Zeit erleben können.",126
Dier Animateurin bringt die Menschen zum Tanzen.,Der Animateur bringt die Menschen zum Tanzen.,Die Animateurin bringt die Menschen zum Tanzen.,"Die Animateurin, der Animateur und Personen mit anderen geschlechtlichen Identitäten, die in der Rolle der Unterhaltung und Moderation tätig sind, bringen die Menschen, unabhängig von deren Geschlechtsidentität, zum Tanzen und fördern so die Freude an der Bewegung zu Musik.",127
"Dier Anleiter/in gab Anweisungen, die alle befolgten.","Der Anleiter gab Anweisungen, die alle befolgten.","Die Anleiterin gab Anweisungen, die alle befolgten.","Die Person, die die Anleitungen gibt und als Anleitungsperson tätig ist, gab Anweisungen, die von allen Anwesenden, unabhängig von deren Geschlechtsidentität, ob sie sich als Frauen, Männer oder Personen mit anderen geschlechtlichen Identitäten definieren, befolgt wurden.",128
Dier Antagonist/in im Film war dier Erzfeind/in von Mo.,Der Antagonist im Film war der Erzfeind von Mo.,Die Antagonistin im Film war die Erzfeindin von Mo.,"Der Antagonist oder die Antagonistin im Film, sowie alle Personen, die sich als Erzfeind oder Erzfeindin von Mo identifizieren oder identifiziert werden, stellen eine zentrale Herausforderung für die Hauptfigur dar. Diese Rollen können sowohl von Männern, Frauen als auch von Menschen anderer geschlechtlicher Identitäten verkörpert werden, die in der Erzählung als Gegenspieler oder Gegenspielerin auftreten.",129
Die Anteilseigner_innen stimmten über die neuen Unternehmensstrategien ab.,Die Anteilseigner stimmten über die neuen Unternehmensstrategien ab.,Die Anteilseignerinnen stimmten über die neuen Unternehmensstrategien ab.,"Die Anteilseignerinnen, Anteilseigner und Personen mit anderen geschlechtlichen Identitäten, die Anteile an dem Unternehmen halten, stimmten über die neuen Unternehmensstrategien ab, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",130
Dier AntragsgegnerIn legte Berufung gegen die Entscheidung ein.,Der Antragsgegner legte Berufung gegen die Entscheidung ein.,Die Antragsgegnerin legte Berufung gegen die Entscheidung ein.,"Die Antragsgegnerin, der Antragsgegner und Personen mit anderen geschlechtlichen Identitäten, die in diesem Verfahren als Antragsgegner:innen auftreten, legten Berufung gegen die Entscheidung ein, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",131
Die Anwält/inkosten waren höher als erwartet.,Die Anwaltskosten waren höher als erwartet.,Die Anwältinkosten waren höher als erwartet.,"Die Anwältinnen, Anwälte und Personen anderer geschlechtlicher Identität, die in der Rolle einer Anwältin oder eines Anwalts tätig sind, hatten höhere Kosten als ursprünglich erwartet.",132
Dier Anwärter*in bereitete sich auf die Aufnahmeprüfung vor.,Der Anwärter bereitete sich auf die Aufnahmeprüfung vor.,Die Anwärterin bereitete sich auf die Aufnahmeprüfung vor.,"Die Anwärterin, der Anwärter und Personen mit anderen geschlechtlichen Identitäten, die sich auf die Aufnahmeprüfung vorbereiten, haben sich intensiv auf die bevorstehenden Herausforderungen vorbereitet und verschiedene Lernmaterialien sowie Strategien genutzt, um ihre Chancen auf einen erfolgreichen Abschluss der Prüfung zu maximieren.",133
Die Anwender/infreundlichkeit der neuen Software wurde gelobt.,Die Anwenderfreundlichkeit der neuen Software wurde gelobt.,Die Anwenderinfreundlichkeit der neuen Software wurde gelobt.,"Die Benutzerinnen, Benutzer und Personen anderer geschlechtlicher Identitäten haben die Benutzerfreundlichkeit der neuen Software gelobt, wobei sich ihre Vorschläge und Rückmeldungen auf die positive Erfahrung beziehen, die Menschen unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität bei der Nutzung der Software gemacht haben.",134
Dier Archäolog*in entdeckte eine antike Stadt unter dem Sand.,Der Archäologe entdeckte eine antike Stadt unter dem Sand.,Die Archäologin entdeckte eine antike Stadt unter dem Sand.,"Die Archäologin, der Archäologe und Personen mit anderen geschlechtlichen Identitäten, die in der Archäologie tätig sind, entdeckten eine antike Stadt, die unter dem Sand verborgen lag.",135
Dier Architekt_in entwarf das moderne Bürogebäude.,Der Architekt entwarf das moderne Bürogebäude.,Die Architektin entwarf das moderne Bürogebäude.,"Die Architektin, der Architekt und Personen mit anderen geschlechtlichen Identitäten, die im Bereich der Architektur tätig sind, entwarfen das moderne Bürogebäude.",136
Holen Sie sich lieber den Rat einis Ärzt:in.,Holen Sie sich lieber den Rat eines Arztes.,Holen Sie sich lieber den Rat einer Ärztin.,"Holen Sie sich lieber den Rat einer Ärztin, eines Arztes oder einer Person mit einer anderen geschlechtlichen Identität, die in der medizinischen Fachrichtung tätig ist, um sicherzustellen, dass Sie die bestmögliche medizinische Unterstützung und Beratung erhalten.",137
Der Ärzt:inbrief enthielt alle wichtigen Informationen zur Behandlung.,Der Arztbrief enthielt alle wichtigen Informationen zur Behandlung.,Der Ärztinbrief enthielt alle wichtigen Informationen zur Behandlung.,"Der Brief, der von einer Ärztin, einem Arzt oder einer Person mit einer anderen geschlechtlichen Identität verfasst wurde, enthielt sämtliche wichtigen Informationen und Details zur Behandlung, die für die Patientinnen, Patienten und alle weiteren Personen, die in diesem Kontext involviert sind, von Bedeutung sind.",138
Die Ärzt/inkosten wurden von der Krankenkasse übernommen.,Die Arztkosten wurden von der Krankenkasse übernommen.,Die Ärztinkosten wurden von der Krankenkasse übernommen.,"Die Ärztinnen und Ärzte sowie Personen mit anderen geschlechtlichen Identitäten, die in der medizinischen Versorgung tätig sind, haben ihre Kosten von der Krankenkasse übernommen bekommen.",139
Die Athlet*innen bereiteten sich auf den Wettkampf vor.,Die Athleten bereiteten sich auf den Wettkampf vor.,Die Athletinnen bereiteten sich auf den Wettkampf vor.,"Die Athleten, Athletinnen und Personen mit anderen geschlechtlichen Identitäten, die an dem Wettkampf teilnehmen, bereiteten sich intensiv auf die bevorstehenden Herausforderungen und Leistungen vor, ganz gleich, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",140
"Die Person, die ein Attentat verübte, wurde von der Polizei gefasst.",Der Attentäter wurde von der Polizei gefasst.,Die Attentäterin wurde von der Polizei gefasst.,"Die Person, die ein Attentat verübte, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, wurde von der Polizei gefasst.",141
Die den Auftrag entgegennehmende Person führte die Arbeiten pünktlich aus.,Der Auftragnehmer führte die Arbeiten pünktlich aus.,Die Auftragnehmerin führte die Arbeiten pünktlich aus.,"Die Person, die den Auftrag entgegen nahm, führte die Arbeiten pünktlich aus, wobei es sich um eine Fachkraft handeln kann, die sich als Frau, Mann oder in einer anderen geschlechtlichen Identität versteht, ganz gleich, ob sie sich als nicht-binär, genderfluid, agender oder auf andere Weise identifiziert.",142
"Eine Person aus meiner Klasse hatte als Kind eine Aupairperson, dey hat uns manchmal abgeholt und uns mit den Hausaufgaben geholfen.","Mein Schulkommolitone hatte als Kind einen Aupair, er hat uns manchmal abgeholt und uns mit den Hausaufgaben geholfen.","Meine Schulkommolitonin hatte als Kind ein Aupairmädchen, sie hat uns manchmal abgeholt und uns mit den Hausaufgaben geholfen.","Eine Person, die Teil meiner Klasse ist, hatte in ihrer Kindheit eine Aupairperson, die sowohl als Betreuerin oder Betreuer beschäftigt sein konnte als auch andere geschlechtliche Identitäten repräsentieren könnte. Diese Aupairperson hat uns gelegentlich abgeholt und uns bei unseren Hausaufgaben geholfen, unabhängig von deren Geschlechtsidentität oder wie sie sich selbst definiert.",143
Dier Außenseiter:in fand nur schwer Anschluss in der neuen Klasse.,Der Außenseiter fand nur schwer Anschluss in der neuen Klasse.,Die Außenseiterin fand nur schwer Anschluss in der neuen Klasse.,"Die Person, die als Außenseiter:in angesehen wird, hatte es nur schwer, Anschluss und Freundschaften in der neuen Klasse zu finden, unabhängig von deren Geschlechtsidentität oder Zugehörigkeit, sei es als Frau, Mann oder als Person mit einer anderen geschlechtlichen Identität.",144
Die AussiedlerInnen wurden in ihrer neuen Heimat herzlich empfangen. ,Die Aussiedler wurden in ihrer neuen Heimat herzlich empfangen. ,Die Aussiedlerinnen wurden in ihrer neuen Heimat herzlich empfangen. ,"Die Aussiedlerinnen, Aussiedler und Personen anderer geschlechtlicher Identität, die aus ihrer Heimat in ein neues Land oder eine neue Region umgesiedelt sind, wurden in ihrer neuen Heimat mit großer Herzlichkeit und Offenheit empfangen.",145
Der Aussteller:inausweis berechtigte dem zum Zutritt zur Messe.,Der Ausstellerausweis berechtigte ihn zum Zutritt zur Messe.,Der Ausstellerinausweis berechtigte sie zum Zutritt zur Messe.,"Der Aussteller:innenausweis berechtigte die Personen, die diesen in Besitz haben, egal welcher Geschlechtsidentität sie angehören, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, zum Zutritt zur Messe.",146
Dier AustauschschülerIn aus Frankreich besuchte für ein Jahr unsere Schule.,Der Austauschschüler aus Frankreich besuchte für ein Jahr unsere Schule.,Die Austauschschülerin aus Frankreich besuchte für ein Jahr unsere Schule.,"Die Austauschschülerin, der Austauschschüler und Personen mit anderen geschlechtlichen Identitäten, die als Austauschschüler oder Austauschschülerin aus Frankreich an unsere Schule gekommen sind, haben für ein Jahr unser Bildungsangebot genutzt und unsere Schule besucht.",147
Dier Auswander*in hatte sich das Leben in einem anderen Land einfacher vorgestellt.,Der Auswanderer hatte sich das Leben in einem anderen Land einfacher vorgestellt.,Die Auswanderin hatte sich das Leben in einem anderen Land einfacher vorgestellt.,"Die Person, die ausgewandert ist, hatte sich ihr Leben in einem anderen Land, unabhängig von ihrer Geschlechtsidentität als Frau, Mann oder einer weiteren geschlechtlichen Identität, einfacher vorgestellt.",148
Die Auswanderer/innen suchten in einem anderen Land nach einem besseren Leben.,Die Auswanderer suchten in einem anderen Land nach einem besseren Leben.,Die Auswanderinnen suchten in einem anderen Land nach einem besseren Leben.,"Die Auswanderer, Auswanderinnen",149
Die Auszubildenden lernten die Grundlagen des Handwerks. ,Die Auszubildenden lernten die Grundlagen des Handwerks.,Die Auszubildenden lernten die Grundlagen des Handwerks.,"Die Auszubildenden, dazu zählen sowohl Männer, Frauen als auch Personen mit anderen geschlechtlichen Identitäten, die sich in einer praktischen Ausbildung im Handwerk befinden, lernten die grundlegenden Fertigkeiten und Kenntnisse, die für die Ausübung des Handwerks erforderlich sind.",150
Die Autofahrer*innen hielten an der roten Ampel.,Die Autofahrer hielten an der roten Ampel.,Die Autofahrerinnen hielten an der roten Ampel.,"Die Autofahrerinnen, Autofahrer und Personen mit anderen geschlechtlichen Identitäten, die ein Fahrzeug steuern, hielten an der roten Ampel an, um die Verkehrsregelung zu beachten und somit zur Sicherheit aller Verkehrsteilnehmenden beizutragen.",151
Dier Autohersteller*in brachte ein neues Modierl auf den Markt.,Der Autohersteller brachte ein neues Modierl auf den Markt.,Die Autoherstellerin brachte ein neues Modierl auf den Markt.,"Der Autohersteller, die Autoherstellerin und Personen mit anderen geschlechtlichen Identitäten, die in der Automobilindustrie tätig sind, haben ein neues Modell auf den Markt gebracht.",152
"Dier Autor/in hielt eine Lesung in der Buchhandlung. Viele deren Fans waren vor Ort und freuten sich, dem zu treffen.","Der Autor hielt eine Lesung in der Buchhandlung. Viele seiner Fans waren vor Ort und freuten sich, ihn zu treffen.","Die Autorin hielt eine Lesung in der Buchhandlung. Viele ihrer Fans waren vor Ort und freuten sich, sie zu treffen.","Die Autorin, der Autor und Personen mit anderen geschlechtlichen Identitäten hielten eine Lesung in der Buchhandlung. Viele ihrer Fans, Faninnen und Personen, die sich in ihrer Unterstützung als Fans identifizieren, waren vor Ort und freuten sich darauf, die Autorin, den Autor und die anderen Personen zu treffen, unabhängig von deren Geschlechtsidentität.",153
"Der Ältestenrat traf sich, um wichtige Entscheidungen zu besprechen.","Der Ältestenrat traf sich, um wichtige Entscheidungen zu besprechen.","Der Ältestenrat traf sich, um wichtige Entscheidungen zu besprechen.","Der Ältestenrat, der sich aus älteren Mitgliedern der Gemeinschaft oder Organisation zusammensetzt, traf sich, um wichtige Entscheidungen zu erörtern und zu besprechen, wobei alle Stimmen und Perspektiven von älteren Personen, unabhängig von deren Geschlechtsidentität, sei es weiblich, männlich oder nicht-binär, respektiert und berücksichtigt wurden.",154
"Dier Anordner/in wies die Arbeiter/innen an, die Kisten zu stapeln.","Der Anordner wies die Arbeiter an, die Kisten zu stapeln.","Die Anordnerin wies die Arbeiterinnen an, die Kisten zu stapeln.","Die Person, die für die Anordnung zuständig ist, wies sowohl die Arbeiter als auch die Arbeiterinnen sowie alle weiteren Personen, die in dieser Position tätig sind, an, die Kisten zu stapeln, unabhängig von deren Geschlechtsidentität oder Geschlechtszugehörigkeit.",155
"Dier Buchhalter_in bucht den Beleg, die Anordner_innen geben diesen frei.","Der Buchhalter bucht den Beleg, die Anordner geben diesen frei.","Die Buchhalterin bucht den Beleg, die Anordnerinnen geben diesen frei.","Die Buchhalterinnen, Buchhalter und Personen mit anderen geschlechtlichen Identitäten, die für die Buchhaltung zuständig sind, buchen den Beleg, während die Anordnerinnen, Anordner und Personen, die sich selbst in einer anderen Geschlechtsidentität identifizieren, diesen zur Freigabe einreichen.",156
Der Anwender/inkurs vermittelt Grundlagen im Umgang mit der neuen Software.,Der Anwenderkurs vermittelt Grundlagen im Umgang mit der neuen Software.,Der Anwenderinkurs vermittelt Grundlagen im Umgang mit der neuen Software.,"Der Kurs, der sich an alle Nutzerinnen, Nutzer und Personen mit anderen geschlechtlichen Identitäten richtet, vermittelt grundlegende Kenntnisse und Fähigkeiten für den Umgang mit der neuen Software, sodass jede Person unabhängig von ihrer Geschlechtsidentität die erforderlichen Kompetenzen erwerben kann.",157
Eine hohe Arbeitsplatzattraktivität zieht qualifizierte Bewerbende an.,Eine hohe Arbeitgeberattraktivität zieht qualifizierte Bewerber an.,Eine hohe Arbeitgeberinattraktivität zieht qualifizierte Bewerberinnen an.,"Eine hohe Arbeitsplatzattraktivität zieht qualifizierte Personen an, die sich um eine Stelle bewerben möchten, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, die über die erforderlichen Qualifikationen verfügt und Interesse an der entsprechenden Position hat.",158
"Eine starke ArbeitgeberInmarke hilft, talentierte MitarbeiterInnen zu gewinnen.","Eine starke Arbeitgebermarke hilft, talentierte Mitarbeiter zu gewinnen.","Eine starke Arbeitgeberinmarke hilft, talentierte Mitarbeiterinnen zu gewinnen.","Eine starke Arbeitgebermarke, die sich positiv in der Öffentlichkeit präsentiert und inklusive Werte verkörpert, trägt entscheidend dazu bei, talentierte Mitarbeiterinnen, Mitarbeiter und Personen mit anderen geschlechtlichen Identitäten zu gewinnen und langfristig im Unternehmen zu halten.",159
Das ArbeitgeberInmarketing spielt eine zentrale Rolle im Recruiting-Prozess.,Das Arbeitgebermarketing spielt eine zentrale Rolle im Recruiting-Prozess.,Das Arbeitgeberinmarketing spielt eine zentrale Rolle im Recruiting-Prozess.,"Das Marketing für Arbeitgeber:innen, also das Bestreben von Unternehmen, sich als attraktive Arbeitgeber:innen zu präsentieren und potenzielle Mitarbeitende für sich zu gewinnen, spielt eine zentrale und entscheidende Rolle im Recruiting-Prozess. Dies betrifft alle Anbieter und Anbieterinnen von Arbeitsplätzen, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person, die sich außerhalb der binären Geschlechterkategorien identifiziert.",160
Die Unternehmensvorteile umfassen flexible Arbeitszeiten und Weiterbildungen.,Die Arbeitgebervorteile umfassen flexible Arbeitszeiten und Weiterbildungen.,Die Arbeitgeberinvorteile umfassen flexible Arbeitszeiten und Weiterbildungen.,"Die Vorteile des Unternehmens, die für alle Mitarbeitenden unabhängig von deren Geschlechtsidentität relevant sind, umfassen flexible Arbeitszeiten, die es jedem ermöglichen, ein ausgewogenes Verhältnis zwischen Berufs- und Privatleben zu finden, sowie vielfältige Möglichkeiten zur Weiterbildung, die darauf abzielen, die berufliche Entwicklung aller Personen in der Organisation zu fördern, sei es für Frauen, Männer oder Personen mit anderen geschlechtlichen Identitäten.",161
Der ArbeitnehmerInvertreter sprach die Anliegen der Belegschaft an.,Der Arbeitnehmervertreter sprach die Anliegen der Belegschaft an.,Der Arbeitnehmerinvertreter sprach die Anliegen der Belegschaft an.,"Der Vertreter oder die Vertreterin der Arbeitnehmerinnen und Arbeitnehmer sowie Personen mit anderen geschlechtlichen Identitäten, die die Interessen der Belegschaft vertreten, sprach die Anliegen der Mitarbeitenden an.",162
Dier Arbeitsdirektor/in ist für die Personalpolitik im Unternehmen verantwortlich.,Der Arbeitsdirektor ist für die Personalpolitik im Unternehmen verantwortlich.,Die Arbeitsdirektorin ist für die Personalpolitik im Unternehmen verantwortlich.,"Die Person, die die Rolle der Arbeitsdirektorin oder des Arbeitsdirektors im Unternehmen einnimmt, sowie alle anderen Personen, die sich in einer ähnlichen Position befinden, sind für die Personalpolitik im Unternehmen verantwortlich. Diese Verantwortung erstreckt sich auf alle Geschlechteridentitäten und inkludiert Frauen, Männer und Personen mit anderen geschlechtlichen Identitäten, die diese leitende Funktion ausüben.",163
Der Ärzt_inausweis muss immer mitgeführt werden.,Der Arztausweis muss immer mitgeführt werden.,Der Ärztinausweis muss immer mitgeführt werden.,"Der Ausweis, der von Ärztinnen, Ärzten und Personen mit anderen geschlechtlichen Identitäten, die eine medizinische Ausbildung absolviert haben oder im Gesundheitswesen tätig sind, ausgestellt wird, muss immer mitgeführt werden, unabhängig davon, wie diese Person sich in Bezug auf Geschlecht oder Geschlechtsidentität definiert.",164
"Die Anmeldung bei dier Schul-, Haus- oder KinderärztIn verlief reibungslos.","Die Anmeldung beim Schul-, Haus- oder Kinderarzt verlief reibungslos.","Die Anmeldung bei der Schul-, Haus- oder Kinderärztin verlief reibungslos.","Die Anmeldung bei der Schulärztin, dem Schularzt, der Hausärztin, dem Hausarzt, der Kinderärztin, dem Kinderarzt und bei allen Personen, die in diesen Berufen tätig sind, verlief ohne Schwierigkeiten. Dabei sind alle geschlechtlichen Identitäten berücksichtigt, sodass sowohl Frauen, Männer als auch Personen, die sich außerhalb der binären Geschlechteridentität definieren, eingeschlossen sind.",165
Bei starken Schmerzen sollte man die Hilfe einer Ärz:tin suchen.,Bei starken Schmerzen sollte man die Hilfe eines Arztes suchen.,Bei starken Schmerzen sollte man die Hilfe einer Ärztin suchen.,"Bei starken Schmerzen sollte man die Unterstützung und Hilfe einer Ärztin, eines Arztes oder einer Person mit einer anderen geschlechtlichen Identität, die im medizinischen Bereich tätig ist, in Anspruch nehmen, um die bestmögliche gesundheitliche Versorgung zu erhalten.",166
"Die ärztlich tätige Person öffnete deren Behandlungstasche, um das notwendige Werkzeug herauszuholen.","Der Arzt öffnete seinen Arztkoffer, um das notwendige Werkzeug herauszuholen.","Die Ärztin öffnete ihren Ärztinkoffer, um das notwendige Werkzeug herauszuholen.","Die Person, die als Ärztin, Arzt oder in einer anderen geschlechtlichen Identität tätig ist, öffnete ihre Behandlungstasche, um das erforderliche medizinische Werkzeug herauszuholen, das für die bevorstehende Behandlung benötigt wird.",167
Eine gute Ärzt_in-Patient_innen-Kommunikation ist essenziell für die Behandlung.,Eine gute Arzt-Patienten-Kommunikation ist essenziell für die Behandlung.,Eine gute Ärztin-Patientinnen-Kommunikation ist essenziell für die Behandlung.,"Eine effektive und respektvolle Kommunikation zwischen Ärztinnen, Ärzten und anderen medizinischen Fachkräften auf der einen Seite sowie ihren Patientinnen, Patienten und Personen mit verschiedenen geschlechtlichen Identitäten auf der anderen Seite ist von entscheidender Bedeutung für eine erfolgreiche Behandlung und das Wohlbefinden aller Beteiligten.",168
Das Ärzt*in-Patient*innen-Verhältnis basiert auf Vertrauen.,Das Arzt-Patienten-Verhältnis basiert auf Vertrauen.,Das Ärztin-Patientinnen-Verhältnis basiert auf Vertrauen.,"Das Verhältnis zwischen Ärztinnen, Ärzten und Personen anderer geschlechtlicher Identität, die als Patientinnen, Patienten oder in einer anderen geschlechtlichen Identität betrachtet werden, basiert auf Vertrauen.",169
